Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritania,MRT,2.80504895565701,5.15916988471255,11.9681709289551,12.1540863037109,12.0417060852051,11.820645904541,11.7810821533203,11.5219329833984,11.1257583618164,11.0658295104504,11.3746178702215,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritius,MUS,7.53066248647711,11.4248271074189,15.8533592224121,16.4589385986328,16.5601921081543,16.8178844451904,16.882137298584,16.6223602294922,16.8822021484375,16.7315039086317,16.5995572200876,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mexico,MEX,1.346927,6.103027,7.673013,7.858708,7.884359,8.045318,8.325895,8.445558,8.870941,9.127,9.308756,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Micronesia, Fed. Sts.",FSM,0.863185407722956,0.872477856339903,0.879293960153449,0.924196978818283,0.914042918891375,0.924197792470497,0.866409217794174,0.891728776735378,0.940474250279455,1.00503463979697,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Moldova,MDA,..,1.77675800986255,4.99565410614014,5.00982761383057,4.98872232437134,5.29301452636719,5.55608701705933,5.4087381362915,5.57240152359009,5.61705986465249,5.82396173906452,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mongolia,MNG,1.75170889930215,136.910950191027,533.526977539063,577.66015625,630.679809570313,683.767456054688,717.072265625,729.222778320313,791.43603515625,838.230666469627,892.401107554142,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Montenegro,MNE,..,0.293405799508404,0.363801174821839,0.369767613644758,0.364005107193352,0.36178613648576,0.359543883102975,0.351349084886476,0.351941244674355,0.352895663327966,0.343159121506219,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Morocco,MAR,3.89956845387497,3.9630406172955,3.67227602005005,3.74962878227234,3.79398965835571,4.03386259078979,3.99644541740417,3.99403691291809,4.02344036102295,3.97259028207262,3.93730708896332,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mozambique,MOZ,0.83081060845083,9.98290183694192,16.8935413360596,18.0192642211914,18.425573348999,18.5511798858643,18.2642478942871,19.8335285186768,22.8555526733398,22.8029378552676,23.0759672324288,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Myanmar,MMR,8.64223334748213,59.3476790209305,261.783935546875,267.496154785156,278.559387207031,294.006622314453,318.978546142578,347.070587158203,366.713256835938,380.705174916892,402.789575850351,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Namibia,NAM,1.44373822182655,2.89130339482266,4.73150825500488,5.2124400138855,5.40016317367554,5.66621780395508,5.93209457397461,6.41411113739014,7.0205979347229,7.15360446105477,7.13661898221429,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nauru,NRU,..,..,0.998753796315207,1.23457603167832,0.948684768075493,0.873596484098386,0.76256458264502,0.960133696600271,1.05638574068385,1.0711308514691,1.08764727261923,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nepal,NPL,7.81077783273098,14.3618370827466,25.2546119689941,26.0044403076172,26.7998695373535,28.1527462005615,29.9425354003906,31.9988098144531,31.2349834442139,32.5596191129726,33.975944667073,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Netherlands,NLD,0.919158,0.890217,0.836065,0.824408,0.798166,0.808798,0.809761,0.795528,0.778486,0.780327,0.784937,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Zealand,NZL,1.53879,1.443592,1.485915,1.495622,1.445979,1.44073,1.475468,1.440658,1.453416,1.449954,1.453358,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nicaragua,NIC,0.06276218198598,4.59360899707255,8.70955848693848,9.36168193817139,9.71493053436279,10.1596918106079,10.5541677474976,10.5936603546143,10.8068704605103,10.9370235693096,11.2513507395144,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Niger,NER,158.408484002419,181.510402927011,226.127777099609,233.426773071289,242.08447265625,243.999694824219,249.921112060547,257.018951416016,258.460083007813,259.090365604414,255.934261097682,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nigeria,NGA,2.3472804631332,23.3010213565645,78.7765274047852,86.8260498046875,90.2611846923828,92.7820281982422,96.8323974609375,105.373916625977,115.977828979492,124.893502029381,135.500754223145,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North Macedonia,MKD,0.0482238854773296,19.9387995748356,19.2895160568924,19.0034569871028,19.1053755374095,18.9958803510657,19.4354960432973,19.0785271529103,19.1179840419328,19.1265249310881,18.7933771374606,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Norway,NOR,9.594081,9.083154,9.082736,9.037085,9.029349,9.278458,9.929852,10.042915,9.921801,9.827081,9.930783,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Oman,OMN,0.108017529251155,0.0936507672889773,0.184847801923752,0.188951402902603,0.190663322806358,0.199446067214012,0.198082402348518,0.194321051239967,0.200041279196739,0.215641806849303,0.204793598480803,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pakistan,PAK,5.44094444751648,11.1922152722611,24.9616813659668,26.6353092193604,28.5217208862305,30.4034805297852,31.4678573608398,32.3776473999023,33.5889205932617,33.6216020156133,35.8941842051727,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Palau,PLW,..,0.773312366517373,0.749237503264511,0.788967824032735,0.832252434089917,0.851792597519986,0.882871102791264,0.927448458775764,0.899947187376525,0.857431946684166,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Panama,PAN,0.516122373274756,0.485235256566808,0.552960157394409,0.57401180267334,0.571320414543152,0.558843910694122,0.538338184356689,0.515441060066223,0.4974704682827,0.490612613252984,0.480153179917184,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Papua New Guinea,PNG,0.726372282256002,1.25475375618433,1.85903340416986,1.81356768705052,1.84621958988962,1.91046193522825,1.81743648254338,1.86804319215797,1.97429028655634,2.06611091568748,2.10926885054647,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Paraguay,PRY,313.896870544762,871.645015594267,2126.669921875,2288.408203125,2309.77734375,2383.45092773438,2453.15966796875,2507.39965820313,2534.37670898438,2530.09465685661,2558.02187755915,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Peru,PER,0.0736874457663361,1.35325104505456,1.54290533065796,1.59930646419525,1.61615884304047,1.6458592414856,1.71408557891846,1.74326360225677,1.74945497512817,1.74358483147515,1.74036097974373,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Philippines,PHL,7.235344129356,13.7837018858976,18.0976543426514,18.0689830780029,18.4258670806885,18.876012802124,19.0010089874268,18.9486045837402,19.3850116729736,19.6465400338118,19.4573009027202,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Poland,POL,0.266389,1.832479,1.801424,1.796168,1.762045,1.767142,1.764643,1.733018,1.737356,1.754052,1.749863,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Portugal,PRT,0.476831,0.660868,0.623083,0.605398,0.583607,0.578868,0.58479,0.571474,0.574968,0.578515,0.566891,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Puerto Rico,PRI,0.644579784673063,0.705192363181539,0.857175412464289,0.857657604831112,0.859537825918039,0.860421766807077,0.874984382157263,0.891701799348515,0.905278276646617,0.905522975485098,0.914474900726778,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Qatar,QAT,..,1.12693387459417,2.15251445770264,2.18644571304321,2.23963689804077,2.36497807502747,2.46818041801453,2.50381851196289,2.34594988822937,2.58867446723871,2.44380873085103,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Romania,ROU,0.000701536395739661,0.615950308908523,1.55003429048514,1.56358492517248,1.60622673630147,1.62837184309511,1.66243324636494,1.60702181038037,1.61073567650267,1.6741969378565,1.69523981754978,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Russian Federation,RUS,0.000542312701949795,7.301404,18.443729,19.56826,19.505592,20.998875,23.562632,24.195032,24.0504,24.773997,25.700854,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Rwanda,RWA,50.9200102791018,134.431880216523,276.649230957031,299.239135742188,302.894805908203,297.071807861328,299.615020751953,311.476104736328,325.126220703125,315.259785370285,311.003094113629,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Samoa,WSM,0.74409182012641,1.40446381274678,1.66056811905465,1.68869652905809,1.67550233681426,1.64179884350387,1.69337740822194,1.69492275892407,1.66238233106965,1.6571666376326,1.66476886176709,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,San Marino,SMR,..,0.757151780675862,0.7102569,0.714521127555856,0.726226981023063,0.690037463066451,0.691402236648034,0.689131267415546,0.68267809471538,0.675776452362109,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sao Tome and Principe,STP,..,..,7.43139362335205,8.65155982971191,8.76679515838623,8.62411785125732,9.18605899810791,9.73867988586426,10.0551843643188,10.2840297461422,10.5758895785602,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Saudi Arabia,SAU,0.845692449645803,0.862342677202974,1.58635425567627,1.6501966714859,1.66646635532379,1.64628052711487,1.59129655361176,1.63892018795013,1.64902722835541,1.79641537743279,1.77421667454294,..
